label,strref,modelname,blocksight,visiblemodel,soundapptype,name,preciseuse,nobin,staticanim
Wood_strong,,T_DOOR01,1,1,,,1,0,
Fancy,,T_DOOR02,1,1,,,1,0,
Porticullis,,T_Door03,0,1,,,1,0,
Porticullis2,,T_Door04,0,1,,,1,0,
Rusted,,T_Door05,1,1,,,1,0,
Metal,,T_Door06,1,1,,,1,0,
Stone_evil,,T_Door07,1,1,,,1,0,
Stone,,T_Door08,1,1,,,1,0,
Jeweled,,T_Door09,1,1,,,1,0,
Wood_weak,,T_Door10,1,1,,,1,0,
ForceField,,T_Door11,0,0,,,1,0,
Test,409,MyDoor,1,1,,,1,0,
ForceField2,408,MyDoor2,1,1,,,1,0,
ManaanDoor1,1319,DOR_LMA01,1,1,11,,1,0,
ManaanDoor2,1327,DOR_LMA02,1,1,12,,1,0,
KorribanDoor1,1329,DOR_LKO01,1,1,7,,1,0,
KorribanDoor2,1330,DOR_LKO02,1,1,8,,1,0,
RakataDoor1,1331,DOR_LRK01,1,1,13,,1,0,
RakataDoor2,1332,DOR_LRK02,1,1,14,,1,0,
TarisDoor1,1333,DOR_LTS01,1,1,23,,1,0,
TarisDoor2,1334,DOR_LTS02,1,1,24,,1,0,
TarisDoor3,1335,DOR_LTS03,1,1,25,,1,0,
TarisDoor4,1336,DOR_LTS04,1,1,26,,1,0,
TatooineDoor1,1337,DOR_LTA01,1,1,20,,1,0,
SithDoor1,1339,DOR_LSI01,1,1,17,,1,0,
SithDoor2,1340,DOR_LSI02,1,1,17,,1,0,
KashDoor1,1341,DOR_LKA01,1,1,5,,1,0,
DantooineDoor1,1349,DOR_LDA01,1,1,70,,1,0,
KorribanDoor3,1350,DOR_LKO03,1,1,7,,1,0,
TatooineDoor2,1351,DOR_LTA02,1,1,21,,1,0,
TatooineDoor3,1352,DOR_LTA03,1,1,22,,1,0,
RakataDoor3,1533,DOR_LRK03,1,1,15,,1,0,
KashDoor2,1534,DOR_LKA02,1,1,5,,1,0,
CzerkaDoor1,1535,DOR_LZA01,1,1,33,,1,0,
DantooineDoor2,1539,DOR_LDA02,1,1,71,,1,0,
DantooineDoor3,1540,DOR_LDA03,1,1,72,,1,0,
DantooineDoor4,1541,DOR_LDA04,1,1,73,,1,0,
TarisDoor5,1542,DOR_LTS05,1,1,27,,1,0,
UnnamedDoor1,1543,DOR_LUN01,1,1,32,,1,0,
SithDoor3,1544,DOR_LSI03,1,1,87,,1,0,
KorribanDoor4,1595,DOR_LKO04,1,1,7,,1,0,
KorribanDoor5,1596,DOR_LKO05,1,1,8,,1,0,
KorribanDoor6,1597,DOR_LKO06,1,1,9,,1,0,
KorribanDoor7,31392,DOR_LKO07,1,1,10,,1,0,
KashDoor3,31412,DOR_LKA03,1,1,6,,1,0,
TarisDoor6,32063,DOR_LTS06,1,1,28,,1,0,
TarisDoor7,32064,DOR_LTS07,1,1,29,,1,0,
SithDoor4,32065,DOR_LSI04,1,1,19,,1,0,
Hammerhead1,32066,DOR_HAR01,1,1,4,,1,0,
TarisDoor8,32067,DOR_LTS08,1,1,30,,1,0,
SithDoor5,32123,DOR_LSI05,1,1,87,,1,0,
TarisDoor9,32124,DOR_LTS09,1,1,31,,1,0,
StarForgeDoor1,32127,DOR_LSF01,1,1,16,,1,0,
ManaanDoor3,32150,DOR_LMA03,1,1,34,,1,0,
ManaanDoor4,32151,DOR_LMA04,1,1,34,,1,0,
ManaanDoor5,32152,DOR_LMA05,1,1,11,,1,0,
ManaanDoor6,32153,DOR_LMA06,1,1,35,,1,0,
RakataDoor4,32278,DOR_LRK04,1,1,13,,1,0,
BrokenDoor,37669,DOR_HAR02,1,1,35,,1,0,
SithDoor1NoPres,38572,DOR_LSI01,1,1,17,,0,1,
ManaanDoor2NPres,38573,DOR_LMA02,1,1,12,,0,1,
TarisDoor10,42009,DOR_LTS10,1,1,27,,1,0,
SithForceField,42299,Dor_LSI06,1,1,,,1,0,
